Reference sample,Sample,Common name,Kingdom,Phylum,Class,Order,Family,Genus,Species
idEupLati1,idEupLati1,Meadow field syrph,Metazoa,Arthropoda,Insecta,Diptera,Syrphidae,Eupeodes,Eupeodes latifasciatus
idGymRotn1,idGymRotn1,.,Metazoa,Arthropoda,Insecta,Diptera,Tachinidae,Gymnosoma,Gymnosoma rotundatum
idLeuLate1,idLeuLate1,Dark-saddled leucozona,Metazoa,Arthropoda,Insecta,Diptera,Syrphidae,Leucozona,Leucozona laternaria
idLypDubi1,idLypDubi1,.,Metazoa,Arthropoda,Insecta,Diptera,Tachinidae,Lypha,Lypha dubia
idMacAtri3,idMacAtri3,.,Metazoa,Arthropoda,Insecta,Diptera,Asilidae,Machimus,Machimus atricapillus
idMelAuri2,idMelAuri2,Spotted meliscaeva,Metazoa,Arthropoda,Insecta,Diptera,Syrphidae,Meliscaeva,Meliscaeva auricollis
idMelMell2,idMelMell2,Dumpy grass hoverfly,Metazoa,Arthropoda,Insecta,Diptera,Syrphidae,Melanostoma,Melanostoma mellinum
idMyaFlor2,idMyaFlor2,Batman hoverfly,Metazoa,Arthropoda,Insecta,Diptera,Syrphidae,Myathropa,Myathropa florea
idMyoTess1,idMyoTess1,.,Metazoa,Arthropoda,Insecta,Diptera,Conopidae,Myopa,Myopa tessellatipennis
idNemNigr1,idNemNigr1,.,Metazoa,Arthropoda,Insecta,Diptera,Stratiomyidae,Nemotelus,Nemotelus nigrinus
idNeoCyan1,idNeoCyan1,Common awl robberfly,Metazoa,Arthropoda,Insecta,Diptera,Asilidae,Neoitamus,Neoitamus cyanurus
idNeoInte1,idNeoInte1,Bulrush neoascia,Metazoa,Arthropoda,Insecta,Diptera,Syrphidae,Neoascia,Neoascia interrupta
idNepAppe1,idNepAppe1,Spotted cranefly,Metazoa,Arthropoda,Insecta,Diptera,Tipulidae,Nephrotoma,Nephrotoma appendiculata
idNepFlae1,idNepFlae1,Cranefly,Metazoa,Arthropoda,Insecta,Diptera,Tipulidae,Nephrotoma,Nephrotoma flavescens
idNepScut1,idNepScut1,.,Metazoa,Arthropoda,Insecta,Diptera,Pipunculidae,Nephrocerus,Nephrocerus scutellatus
idNowFero1,idNowFero1,.,Metazoa,Arthropoda,Insecta,Diptera,Tachinidae,Nowickia,Nowickia ferox
idPheCory1,idPheCory1,.,Metazoa,Arthropoda,Insecta,Diptera,Sciomyzidae,Pherbina,Pherbina coryleti
idPhyMeln1,idPhyMeln1,.,Metazoa,Arthropoda,Insecta,Diptera,Rhinophoridae,Phyto,Phyto melanocephala
idPlaAlba1,idPlaAlba3,White-footed hoverfly,Metazoa,Arthropoda,Insecta,Diptera,Syrphidae,Platycheirus,Platycheirus albimanus
idPlaAlba1,idPlaAlba4,White-footed hoverfly,Metazoa,Arthropoda,Insecta,Diptera,Syrphidae,Platycheirus,Platycheirus albimanus
idPlaAlba1,idPlaAlba1,White-footed hoverfly,Metazoa,Arthropoda,Insecta,Diptera,Syrphidae,Platycheirus,Platycheirus albimanus
idPoeNobi2,idPoeNobi2,.,Metazoa,Arthropoda,Insecta,Diptera,Dolichopodidae,Poecilobothrus,Poecilobothrus nobilitatus
idPolAmen1,idPolAmen1,Black-bellied clusterfly,Metazoa,Arthropoda,Insecta,Diptera,Polleniidae,Pollenia,Pollenia amentaria
idPolAngu1,idPolAngu1,Narrow-cheeked clusterfly,Metazoa,Arthropoda,Insecta,Diptera,Polleniidae,Pollenia,Pollenia angustigena
idPolDomi1,idPolDomi1,.,Metazoa,Arthropoda,Insecta,Diptera,Muscidae,Polietes,Polietes domitor
idProAzur1,idProAzur1,Bird blowfly,Metazoa,Arthropoda,Insecta,Diptera,Calliphoridae,Protocalliphora,Protocalliphora azurea
idRhiCamp1,idRhiCamp1,Common snout-hoverfly,Metazoa,Arthropoda,Insecta,Diptera,Syrphidae,Rhingia,Rhingia campestris
idSarCaer1,idSarCaer1,.,Metazoa,Arthropoda,Insecta,Diptera,Sarcophagidae,Sarcophaga,Sarcophaga caerulescens
idSarRose1,idSarRose1,.,Metazoa,Arthropoda,Insecta,Diptera,Sarcophagidae,Sarcophaga,Sarcophaga rosellei
idSarSubv1,idSarSubv1,.,Metazoa,Arthropoda,Insecta,Diptera,Sarcophagidae,Sarcophaga,Sarcophaga subvicina
idSarVari1,idSarVari1,.,Metazoa,Arthropoda,Insecta,Diptera,Sarcophagidae,Sarcophaga,Sarcophaga variegata
idScaPyra1,idScaPyra1,Pied hoverfly,Metazoa,Arthropoda,Insecta,Diptera,Syrphidae,Scaeva,Scaeva pyrastri
idSicFerr1,idSicFerr1,Ferruginous bee-grabber,Metazoa,Arthropoda,Insecta,Diptera,Conopidae,Sicus,Sicus ferrugineus
idSphTaen1,idSphTaen1,.,Metazoa,Arthropoda,Insecta,Diptera,Syrphidae,Sphaerophoria,Sphaerophoria taeniata
idStoLuna1,idStoLuna1,.,Metazoa,Arthropoda,Insecta,Diptera,Rhiniidae,Stomorhina,Stomorhina lunata
idSuiVari3,idSuiVari3,.,Metazoa,Arthropoda,Insecta,Diptera,Heleomyzidae,Suillia,Suillia variegata
idSyrPipi1,idSyrPipi10,Thick-legged hoverfly,Metazoa,Arthropoda,Insecta,Diptera,Syrphidae,Syritta,Syritta pipiens
idSyrPipi1,idSyrPipi11,Thick-legged hoverfly,Metazoa,Arthropoda,Insecta,Diptera,Syrphidae,Syritta,Syritta pipiens
idSyrPipi1,idSyrPipi2,Thick-legged hoverfly,Metazoa,Arthropoda,Insecta,Diptera,Syrphidae,Syritta,Syritta pipiens
idSyrPipi1,idSyrPipi5,Thick-legged hoverfly,Metazoa,Arthropoda,Insecta,Diptera,Syrphidae,Syritta,Syritta pipiens
idSyrPipi1,idSyrPipi6,Thick-legged hoverfly,Metazoa,Arthropoda,Insecta,Diptera,Syrphidae,Syritta,Syritta pipiens
idSyrPipi1,idSyrPipi7,Thick-legged hoverfly,Metazoa,Arthropoda,Insecta,Diptera,Syrphidae,Syritta,Syritta pipiens
idSyrPipi1,idSyrPipi8,Thick-legged hoverfly,Metazoa,Arthropoda,Insecta,Diptera,Syrphidae,Syritta,Syritta pipiens
idSyrPipi1,idSyrPipi9,Thick-legged hoverfly,Metazoa,Arthropoda,Insecta,Diptera,Syrphidae,Syritta,Syritta pipiens
idSyrPipi1,idSyrPipi1,Thick-legged hoverfly,Metazoa,Arthropoda,Insecta,Diptera,Syrphidae,Syritta,Syritta pipiens
idTacFera2,idTacFera2,.,Metazoa,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina fera
idTacLuri1,idTacLuri1,.,Metazoa,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina lurida
idTheAcut1,idTheAcut1,.,Metazoa,Arthropoda,Insecta,Diptera,Tachinidae,Thecocarcelia,Thecocarcelia acutangulata
idTheAtra2,idTheAtra2,.,Metazoa,Arthropoda,Insecta,Diptera,Conopidae,Thecophora,Thecophora atra
idTheSoli1,idTheSoli1,.,Metazoa,Arthropoda,Insecta,Diptera,Tachinidae,Thelaira,Thelaira solivaga
idVolBomb1,idVolBomb1,Bumblebee hoverfly,Metazoa,Arthropoda,Insecta,Diptera,Syrphidae,Volucella,Volucella bombylans
idVolInan1,idVolInan1,Lesser hornet hoverfly,Metazoa,Arthropoda,Insecta,Diptera,Syrphidae,Volucella,Volucella inanis
idVolInfl1,idVolInfl1,Cossus hoverfly,Metazoa,Arthropoda,Insecta,Diptera,Syrphidae,Volucella,Volucella inflata
idXanPedi1,idXanPedi1,Hoverfly,Metazoa,Arthropoda,Insecta,Diptera,Syrphidae,Xanthogramma,Xanthogramma pedissequum
idXylSylv2,idXylSylv2,Golden-tailed hoverfly,Metazoa,Arthropoda,Insecta,Diptera,Syrphidae,Xylota,Xylota sylvarum
ihAcaHaem1,ihAcaHaem1,Hawthorn shieldbug,Metazoa,Arthropoda,Insecta,Hemiptera,Acanthosomatidae,Acanthosoma,Acanthosoma haemorrhoidale
ihAelAcum1,ihAelAcum1,Bishop's mitre shieldbug,Metazoa,Arthropoda,Insecta,Hemiptera,Pentatomidae,Aelia,Aelia acuminata
ihDrePlat2,ihDrePlat2,Common sycamore aphid,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,Drepanosiphum,Drepanosiphum platanoidis
ihGonAcut1,ihGonAcut1,Box bug,Metazoa,Arthropoda,Insecta,Hemiptera,Coreidae,Gonocerus,Gonocerus acuteangulatus
ihRhaNebu1,ihRhaNebu1,.,Metazoa,Arthropoda,Insecta,Hemiptera,Pentatomidae,Rhaphigaster,Rhaphigaster nebulosa
iiAthCine2,iiAthCine2,.,Metazoa,Arthropoda,Insecta,Trichoptera,Leptoceridae,Athripsodes,Athripsodes cinereus
iiGlyPell1,iiGlyPell1,.,Metazoa,Arthropoda,Insecta,Trichoptera,Limnephilidae,Glyphotaelius,Glyphotaelius pellucidus
iiLimLuna2,iiLimLuna2,.,Metazoa,Arthropoda,Insecta,Trichoptera,Limnephilidae,Limnephilus,Limnephilus lunatus
iiLimMarm1,iiLimMarm1,.,Metazoa,Arthropoda,Insecta,Trichoptera,Limnephilidae,Limnephilus,Limnephilus marmoratus
iiLimRhom1,iiLimRhom1,.,Metazoa,Arthropoda,Insecta,Trichoptera,Limnephilidae,Limnephilus,Limnephilus rhombicus
ilAbrTril1,ilAbrTril1,Dark spectacle,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Abrostola,Abrostola triplasia
ilAbrTrip1,ilAbrTrip1,The spectacle,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Abrostola,Abrostola tripartita
ilAceEphe1,ilAceEphe1,Water veneer,Metazoa,Arthropoda,Insecta,Lepidoptera,Crambidae,Acentria,Acentria ephemerella
ilAchFlav2,ilAchFlav2,Yellow horned,Metazoa,Arthropoda,Insecta,Lepidoptera,Drepanidae,Achlya,Achlya flavicornis
ilAclCris2,ilAclCris2,Tufted button,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Acleris,Acleris cristana
ilAclEmar1,ilAclEmar1,Notch-wing button,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Acleris,Acleris emargana
ilAclLite1,ilAclLite1,Lichen button,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Acleris,Acleris literana
ilAclSpar1,ilAclSpar1,Ashy button,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Acleris,Acleris sparsana
ilAcrAcer1,ilAcrAcer1,The sycamore,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Acronicta,Acronicta aceris
ilAcrLepo1,ilAcrLepo1,The miller,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Acronicta,Acronicta leporina
ilAcrPsix1,ilAcrPsix1,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Acronicta,Acronicta psi
ilAcrSuav1,ilAcrSuav1,Thicket knot-horn,Metazoa,Arthropoda,Insecta,Lepidoptera,Pyralidae,Acrobasis,Acrobasis suavella
ilAglIoxx1,ilAglIoxx1,European peacock,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Inachis,Inachis io
ilAglUrti1,ilAglUrti1,Small tortoiseshell,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Aglais,Nymphalis urticae
ilAgoAren1,ilAgoAren1,Brindled flat-body,Metazoa,Arthropoda,Insecta,Lepidoptera,Depressariidae,Agonopterix,Agonopterix arenella
ilAgoSubp1,ilAgoSubp1,Ruddy flat-body,Metazoa,Arthropoda,Insecta,Lepidoptera,Depressariidae,Agonopterix,Agonopterix subpropinquella
ilAgrAura1,ilAgrAura1,Scarce umber,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Agriopis,Agriopis aurantiaria
ilAgrCirc1,ilAgrCirc1,The brick,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Agrochola,Agrochola circellaris
ilAgrLeuc1,ilAgrLeuc1,Spring usher,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Agriopis,Agriopis leucophaearia
ilAgrLota1,ilAgrLota1,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Agrochola,Agrochola lota
ilAgrMaci1,ilAgrMaci1,Yellow-line quaker,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Agrochola,Agrochola macilenta
ilAgrMarg1,ilAgrMarg1,Dotted border,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Agriopis,Agriopis marginaria
ilAgrPuta1,ilAgrPuta1,Shuttle-shaped dart,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Agrotis,Agrotis puta
ilAgrTris1,ilAgrTris1,Common grass-veneer,Metazoa,Arthropoda,Insecta,Lepidoptera,Crambidae,Agriphila,Agriphila tristella
ilAlcRepa2,ilAlcRepa2,Mottled beauty moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Alcis,Alcis repandata
ilAllOxya1,ilAllOxya1,Green-brindled crescent,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Allophyes,Allophyes oxyacanthae
ilAlsAesc1,ilAlsAesc1,March moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Alsophila,Alsophila aescularia
ilAmpBerb1,ilAmpBerb1,Svensson's copper underwing,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Amphipyra,Amphipyra berbera
ilAmpLuce6,ilAmpLuce6,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Amphipoea,Amphipoea lucens
ilAmpOcul1,ilAmpOcul1,Ear moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Amphipoea,Amphipoea oculea
ilAmpTrag2,ilAmpTrag2,Mouse moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Amphipyra,Amphipyra tragopoginis
ilAnaInnx2,ilAnaInnx2,Acer sober,Metazoa,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Anarsia,Anarsia innoxiella
ilAnoMund1,ilAnoMund1,Twin-spotted quaker,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Anorthoa,Anorthoa munda
ilAntCard3,ilAntCard3,Orange tip,Metazoa,Arthropoda,Insecta,Lepidoptera,Pieridae,Anthocharis,Anthocharis cardamines
ilAntChix2,ilAntChix2,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Antitype,Antitype chi
ilAntDeri1,ilAntDeri1,Streamer,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Anticlea,Anticlea derivata
ilApaEpom1,ilApaEpom1,Clouded brindle,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Apamea,Apamea epomidion
ilApaMono1,ilApaMono1,Dark arches,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Apamea,Apamea monoglypha
ilApaSord1,ilApaSord1,Rustic shoulder-knot,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Apamea,Apamea sordens
ilApeSyri1,ilApeSyri1,Lilac beauty,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Apeira,Apeira syringaria
ilAplEffo1,ilAplEffo1,Lesser treble-bar,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Aplocera,Aplocera efformata
ilApoBetu1,ilApoBetu1,Birch marble,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Apotomis,Apotomis betuletana
ilApoBist1,ilApoBist1,Heath knot-horn,Metazoa,Arthropoda,Insecta,Lepidoptera,Pyralidae,Apomyelois,Apomyelois bistriatella
ilApoCapr1,ilApoCapr1,Sallow marble,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Apotomis,Apotomis capreana
ilApoCrat1,ilApoCrat1,Black veined white,Metazoa,Arthropoda,Insecta,Lepidoptera,Pieridae,Aporia,Aporia crataegi
ilApoHisp1,ilApoHisp1,Small brindled beauty,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Apocheima,Apocheima hispidaria
ilApoLima1,ilApoLima1,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Limacodidae,Apoda,Apoda limacodes
ilApoLuen1,ilApoLuen1,Northern deep-brown dart,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Aporophyla,Aporophyla lueneburgensis
ilApoNigr3,ilApoNigr3,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Aporophyla,Aporophyla nigra
ilApoTurb1,ilApoTurb1,White-shouldered marble,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Apotomis,Apotomis turbidana
ilArcCraa1,ilArcCraa1,Brown oak tortrix,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Archips,Archips crataeganus
ilArcXylo1,ilArcXylo1,Variegated golden tortrix,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Archips,Archips xylosteana
ilAriAges1,ilAriAges2,Brown argus,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Aricia,Aricia agestis
ilAriAges1,ilAriAges1,Brown argus,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Aricia,Aricia agestis
ilAriArta2,ilAriArta2,Northern brown argus,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Aricia,Aricia artaxerxes
ilAteCent1,ilAteCent1,Centre-barred sallow,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Atethmia,Atethmia centrago
ilAthMouf1,ilAthMouf1,Dotted grey groundling,Metazoa,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Athrips,Athrips mouffetella
ilAutGamm1,ilAutGamm1,Silver y,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Autographa,Autographa gamma
ilAutPulc1,ilAutPulc1,Beautiful golden y,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Autographa,Autographa pulchrina
ilBemIchn1,ilBemIchn1,Six-belted clearwing,Metazoa,Arthropoda,Insecta,Lepidoptera,Sesiidae,Bembecia,Bembecia ichneumoniformis
ilBicAnyn1,ilBicAnyn1,Squinting bush brown,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Bicyclus,Bicyclus anynana
ilBisBetu1,ilBisBetu1,Peppered moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Biston,Biston betularia
ilBlaAdus2,ilBlaAdus2,Dingy dowd,Metazoa,Arthropoda,Insecta,Lepidoptera,Blastobasidae,Blastobasis,Blastobasis adustella
ilBlaLact1,ilBlaLact1,London dowd,Metazoa,Arthropoda,Insecta,Lepidoptera,Blastobasidae,Blastobasis,Blastobasis lacticolella
ilBolSele5,ilBolSele5,Silver meadow fritillary,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Boloria,Boloria selene
ilBraVimi1,ilBraVimi1,Minor shoulder-knot,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Brachylomia,Brachylomia viminalis
ilCalPalu1,ilCalPalu1,Bulrush veneer,Metazoa,Arthropoda,Insecta,Lepidoptera,Crambidae,Calamotropha,Calamotropha paludella
ilCamMarg1,ilCamMarg1,Light emerald,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Campaea,Campaea margaritaria
ilCarClav1,ilCarClav1,Pale mottled willow,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Caradrina,Caradrina clavipalpis
ilCarKade1,ilCarKade1,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Caradrina,Caradrina kadenii
ilCarPala2,ilCarPala2,Arctic skipper,Metazoa,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Carterocephalus,Carterocephalus palaemon
ilCarQuer1,ilCarQuer1,Long-horned flat-body,Metazoa,Arthropoda,Insecta,Lepidoptera,Depressariidae,Carcina,Carcina quercana
ilCatFrax1,ilCatFrax1,Cliften non-pareil,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Catocala,Catocala fraxini
ilCelArgi3,ilCelArgi3,Holly blue,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Celastrina,Celastrina argiolus
ilChaFerr1,ilChaFerr1,Brown rustic,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Charanyca,Charanyca ferruginea
ilCheLega1,ilCheLega1,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Chesias,Chesias legatella
ilChlSite2,ilChlSite2,Red-green carpet,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Chloroclysta,Chloroclysta siterata
ilChrCulm1,ilChrCulm1,Garden grass-veneer,Metazoa,Arthropoda,Insecta,Lepidoptera,Crambidae,Chrysoteuchia,Chrysoteuchia culmella
ilCloCurt1,ilCloCurt1,Chocolate tip,Metazoa,Arthropoda,Insecta,Lepidoptera,Notodontidae,Clostera,Clostera curtula
ilColCroc2,ilColCroc2,Clouded yellow,Metazoa,Arthropoda,Insecta,Lepidoptera,Pieridae,Colias,Colias croceus
ilColFlav1,ilColFlav1,Tipped oak case-bearer,Metazoa,Arthropoda,Insecta,Lepidoptera,Coleophoridae,Coleophora,Coleophora flavipennella
ilConVacc3,ilConVacc3,The chestnut,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Conistra,Conistra vaccinii
ilCosPyra2,ilCosPyra2,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Cosmia,Cosmia pyralina
ilCosTrap1,ilCosTrap1,Dun-bar pinion,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Cosmia,Cosmia trapezina
ilCraLigu1,ilCraLigu1,Coronet,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Craniophora,Craniophora ligustri
ilCroElin1,ilCroElin1,Scalloped oak,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Crocallis,Crocallis elinguaria
ilCyaSemi1,ilCyaSemi1,Mazarine blue,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Cyaniris,Cyaniris semiargus
ilCybMeso1,ilCybMeso1,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Cybosia,Cybosia mesomella
ilCydAmpl1,ilCydAmpl1,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Cydia,Cydia amplana
ilCydSple1,ilCydSple1,Marbled piercer,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Cydia,Cydia splendana
ilCydStro3,ilCydStro1,Spruce-seed moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Cydia,Cydia strobilella
ilCydStro3,ilCydStro3,Spruce-seed moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Cydia,Cydia strobilella
ilDeiPorc1,ilDeiPorc1,Small elephant hawk-moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Sphingidae,Deilephila,Deilephila porcellus
ilDiaChry1,ilDiaChry1,Burnished brass,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Diachrysia,Diachrysia chrysitis
ilDiaMend1,ilDiaMend1,Muslin,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Diaphora,Diaphora mendica
ilDiaRubi1,ilDiaRubi1,Small square-spot,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Diarsia,Diarsia rubi
ilDicOoxx2,ilDicOoxx2,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Dicycla,Dicycla oo
ilDilCaer1,ilDilCaer1,Figure of eight,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Diloba,Diloba caeruleocephala
ilDreFalc1,ilDreFalc1,Pebble hook-tip,Metazoa,Arthropoda,Insecta,Lepidoptera,Drepanidae,Drepana,Drepana falcataria
ilDryErem1,ilDryErem1,Brindled green,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Dryobotodes,Dryobotodes eremita
ilDryLabe1,ilDryLabe1,Oak rustic,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Dryobota,Dryobota labecula
ilDryRufi1,ilDryRufi1,Lunar marbled brown,Metazoa,Arthropoda,Insecta,Lepidoptera,Notodontidae,Drymonia,Drymonia ruficornis
ilEclSila1,ilEclSila1,Small phoenix,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Ecliptopera,Ecliptopera silaceata
ilEilCani1,ilEilCani1,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Eilema,Eilema caniola
ilEilDepe1,ilEilDepe1,Buff footman,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Eilema,Eilema depressum
ilEilSoro1,ilEilSoro1,Orange footman,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Eilema,Eilema sororcula
ilEleCory1,ilEleCory1,Broken-barred carpet,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Electrophaes,Electrophaes corylata
ilEleSimi1,ilEleSimi1,White-barred knot-horn,Metazoa,Arthropoda,Insecta,Lepidoptera,Pyralidae,Elegia,Elegia similella
ilEmmMono1,ilEmmMono1,Common plume,Metazoa,Arthropoda,Insecta,Lepidoptera,Pterophoridae,Emmelina,Emmelina monodactyla
ilEndFlam1,ilEndFlam1,Rose-flounced tabby,Metazoa,Arthropoda,Insecta,Lepidoptera,Pyralidae,Endotricha,Endotricha flammealis
ilEnnFusc2,ilEnnFusc2,Dusky thorn,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Ennomos,Ennomos fuscantarius
ilEnnQuei1,ilEnnQuei1,August thorn,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Ennomos,Ennomos quercinarius
ilEpiBilu1,ilEpiBilu1,Crescent bell,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Epinotia,Epinotia bilunana
ilEpiDema1,ilEpiDema1,Birch bell,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Epinotia,Epinotia demarniana
ilEpiNise2,ilEpiNise2,Grey poplar bell,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Epinotia,Epinotia nisella
ilEpiRame1,ilEpiRame1,Small birch bell,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Epinotia,Epinotia ramella
ilEraDefo1,ilEraDefo1,Mottled umber,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Erannis,Erannis defoliaria
ilEreAeth2,ilEreAeth2,Scotch argus,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Erebia,Erebia aethiops
ilEreLige1,ilEreLige1,Arran brown,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Erebia,Erebia ligea
ilEryTage1,ilEryTage1,Dingy skipper,Metazoa,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Erynnis,Erynnis tages
ilEspSulp1,ilEspSulp1,Sulphur tubic,Metazoa,Arthropoda,Insecta,Lepidoptera,Oecophoridae,Esperia,Esperia sulphurella
ilEucMixx1,ilEucMixx1,Mother shipton,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Euclidia,Euclidia mi
ilEudLacu3,ilEudLacu3,Little grey,Metazoa,Arthropoda,Insecta,Lepidoptera,Crambidae,Eudonia,Eudonia lacustrata
ilEudProf1,ilEudProf1,Diamond-back marble,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Eudemis,Eudemis profundana
ilEugGlar6,ilEugGlar6,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Eugnorisma,Eugnorisma glareosa
ilEulPrun1,ilEulPrun1,The phoenix,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Eulithis,Eulithis prunata
